cluster	n_nodes	mean_degree	median_degree	mean_length	median_length
0	14	4.928571428571429	5.0	2364.0714285714284	142.5
1	6488	2.848335388409371	2.0	23595.782367447595	171.0
2	11	2.0	2.0	4731.636363636364	331.0
3	4557	2.910906298003072	3.0	21881.209567698046	173.0
