node	degree	length	cluster
s87	4	1530	3
s4374	4	109411	1
s114972	2	6	1
s105497	6	2328	3
s114605	2	328	3
s83199	2	59	1
s2848	2	62	3
s3634	4	245	1
s105429	3	66	1
s424	3	45	3
s573	2	301	1
s359	3	46	1
s4652	4	85492	3
s81716	4	66	1
s120929	2	680	1
s140466	2	319	1
s1362	4	135157	3
s120872	4	46	1
s4566	2	70	1
s5363	4	92990	1
s114694	2	65	3
s129157	3	4	1
s134640	2	60	1
s2630	4	155582	3
s81627	2	5519	1
s125613	2	94	3
s82293	2	96	1
s5416	4	305	1
s125570	2	230	1
s105151	2	581	1
s120911	2	67	1
s105711	2	216	3
s2215	4	92951	1
s3462	4	482	1
s548	2	1	1
s1306	2	272	3
s2263	2	78	1
s82806	4	351	1
s82472	2	50	1
s5141	4	204	3
s1258	2	144	1
s1544	2	111	3
s81812	3	55	1
s114760	2	6	1
s677	4	153	1
s115071	2	348	1
s5347	3	21	1
s4579	2	179	1
s82610	3	55	3
s82748	3	93	1
s1787	4	1098	1
s3505	4	32105	3
s140440	2	321	3
s104913	2	319	3
s2951	4	278	1
s3234	4	22	1
s2678	4	9	1
s81409	2	242	1
s2803	2	70	3
s105114	3	167	1
s129031	2	341	1
s120859	2	53	1
s81650	4	178	1
s4933	2	6	3
s4251	4	151579	3
s134718	2	211	1
s4359	2	2	1
s104854	2	11	1
s82112	2	384	3
s105603	2	2	3
s1023	4	219074	3
s4982	4	141423	1
s2090	2	364	3
s120886	2	1	3
s4180	4	1	3
s121114	3	70	1
s120810	2	2	3
s114952	3	188	1
s105124	5	58	1
s104988	2	7	3
s694	4	38	1
s114901	4	514	1
s82200	3	126	1
s105146	2	169	1
s2799	4	124	3
s132048	2	646	1
s4534	5	76127	3
s1536	4	52	3
s82027	3	34	1
s105440	5	60	1
s125585	2	34	1
s1256	2	76	1
s393	2	72	3
s82467	4	179	1
s139629	2	277	1
s2286	4	38340	1
s114615	2	1	1
s104797	3	1608	3
s125601	2	84	3
s5190	4	26663	1
s82856	2	7	3
s105575	3	3189	3
s4679	2	56	1
s66	3	121	1
s4267	4	21001	1
s121064	2	121	1
s3132	4	414	1
s761	4	11722	1
s81482	4	18	1
s5390	4	35911	1
s5413	4	70	1
s2255	4	56123	3
s4559	4	48860	1
s105272	2	557	3
s3351	3	819923	1
s1814	2	53	1
s131877	2	18862	3
s2446	4	773400	1
s1048	4	16221	1
s1626	4	201629	3
s2181	2	355	1
s81431	2	287	1
s139628	2	61	1
s105014	2	122	1
s4633	2	320	1
s139609	2	69	1
s125399	2	1	3
s105138	2	312	1
s105067	2	87	1
s134653	2	13	1
s3376	2	88	3
s5035	2	70	3
s1548	2	60	3
s934	4	43178	3
s5243	2	105	3
s1947	3	166	1
s114532	2	111	1
s54	2	312	3
s782	2	1	1
s81546	2	925	3
s4831	2	343	3
s120948	2	1543	1
s134712	2	301	3
s3761	2	168	1
s140239	2	53	1
s4356	4	3770	1
s4497	4	61820	1
s104910	3	1347	1
s105007	3	101	3
s120844	2	67	1
s2878	3	5	3
s3019	4	2289	1
s105752	2	53	3
s114642	2	36953	3
s82	4	19933	3
s105602	3	17	1
s125367	3	31	1
s105808	2	78	1
s137970	2	12609	1
s3605	4	21436	3
s3939	4	21025	3
s3649	4	21223	1
s105801	2	52	1
s83175	3	32	3
s115013	2	48	1
s83295	3	10	1
s105659	4	22	1
s105785	2	389	1
s105462	4	84	1
s138313	2	93	1
s143396	2	967	3
s114597	2	60	1
s2578	4	452643	3
s134672	2	71	1
s2965	4	1752	1
s3887	4	20670	1
s82252	3	488	1
s83216	2	396	1
s114679	2	325	1
s114616	2	26	1
s1405	2	10	3
s788	5	17045	1
s2389	2	2	3
s1254	4	55950	3
s114660	2	190	1
s132009	2	115	3
s129233	2	12737	1
s4496	3	111	1
s4641	6	23437	1
s5433	4	53	1
s138273	2	163	3
s129094	2	64	3
s968	3	27	3
s2133	2	306	1
s82215	3	1588	3
s105195	2	683	3
s81565	2	130	1
s105027	2	1	1
s2479	4	53	1
s1640	4	143433	1
s2328	4	48124	1
s4105	4	56335	1
s131966	2	73	1
s2393	2	12	3
s83007	2	315	1
