node	length	degree	branching	terminal
s83297	144	3	True	False
s139627	110	2	False	False
s713	109	4	True	False
s1279	122	4	True	False
s1454	499	4	True	False
s81546	925	2	False	False
s726	34	3	True	False
s27	806	4	True	False
s129047	187	2	False	False
s5404	494	4	True	False
s559	2	3	True	False
s81733	55	2	False	False
s114908	884	2	False	False
s3678	165891	4	True	False
s3432	405070	4	True	False
s131967	64	2	False	False
s1988	41397	4	True	False
s3727	239	2	False	False
s818	466	4	True	False
s129172	61	3	True	False
s129114	326	2	False	False
s4464	23233	4	True	False
s95	65	4	True	False
s140284	4602	2	False	False
s121097	1	2	False	False
s82591	177	4	True	False
s83180	51	5	True	False
s4880	56	2	False	False
s756	12	4	True	False
s5433	53	4	True	False
s3671	64	4	True	False
s2276	1	2	False	False
s1296	1385	4	True	False
s4910	29	3	True	False
s4097	1196	2	False	False
s3749	62	2	False	False
s143321	78	2	False	False
s3604	52	2	False	False
s121004	13	3	True	False
s232	4806	4	True	False
s2161	122	4	True	False
s120846	64	2	False	False
s137940	64	2	False	False
s4985	9389	4	True	False
s2431	494292	4	True	False
s82083	52	2	False	False
s81662	33	3	True	False
s104	187	3	True	False
s125435	4	2	False	False
s82277	30	4	True	False
s104923	64	2	False	False
s5070	134	2	False	False
s433	318	3	True	False
s254	74	4	True	False
s5302	23536	4	True	False
s140447	44393	2	False	False
s3675	52459	4	True	False
s1121	138011	5	True	False
s83062	20	4	True	False
s114857	353	4	True	False
s1289	11	4	True	False
s81656	68	2	False	False
s2788	115	2	False	False
s4644	589	4	True	False
s4117	110419	4	True	False
s1641	1	3	True	False
s83300	43	4	True	False
s81920	32	2	False	False
s2771	70703	4	True	False
s137982	336	2	False	False
s82188	1	2	False	False
s1810	207	2	False	False
s3605	21436	4	True	False
s4533	388	5	True	False
s2558	40518	4	True	False
s304	18780	4	True	False
s308	611	4	True	False
s105028	85	3	True	False
s351	18	3	True	False
s121007	222	2	False	False
s131909	104	2	False	False
s120981	924	3	True	False
s82759	90	2	False	False
s120816	6071	2	False	False
s1221	105017	4	True	False
s138204	162	2	False	False
s3898	75	2	False	False
s81988	420	2	False	False
s5244	15313	4	True	False
s82264	77	2	False	False
s1186	7	2	False	False
s2203	136606	4	True	False
s4351	336	2	False	False
s125467	172	2	False	False
s5141	204	4	True	False
s121110	912	2	False	False
s3383	41088	4	True	False
s105002	74	3	True	False
s82515	131	4	True	False
s143357	90	2	False	False
s112	252	4	True	False
s1039	28460	5	True	False
s3894	488	3	True	False
s81680	1	2	False	False
s105749	506	2	False	False
s104954	58	2	False	False
s81667	1	2	False	False
s81919	152	3	True	False
s3778	14424	4	True	False
s81477	85	2	False	False
s3535	58	3	True	False
s404	136	4	True	False
s82172	1111	4	True	False
s4316	1	2	False	False
s5305	104889	4	True	False
s131957	107	2	False	False
s4355	66	2	False	False
s83261	45	3	True	False
s114521	50	2	False	False
s647	330	4	True	False
s90	184	3	True	False
s1386	17222	4	True	False
s2859	170	3	True	False
s120749	1461	3	True	False
s81461	663	3	True	False
s131946	4	3	True	False
s131930	64	2	False	False
s4914	125751	4	True	False
s4362	35196	4	True	False
s82240	439	3	True	False
s81510	516	4	True	False
s1644	66	4	True	False
s2410	128980	4	True	False
s114717	49	3	True	False
s886	8552	4	True	False
s120980	585	2	False	False
s120923	98	2	False	False
s5392	5674	4	True	False
s1429	30	5	True	False
s81880	17	3	True	False
s140281	68	2	False	False
s81746	231	2	False	False
s125506	456	2	False	False
s2568	115	2	False	False
s768	4	3	True	False
s105168	9	2	False	False
s82683	477	3	True	False
s4455	7	2	False	False
s596	203	2	False	False
s4412	14	3	True	False
s115017	70	2	False	False
s105591	242	4	True	False
s82960	79	4	True	False
s105568	3690	4	True	False
s1043	17	3	True	False
s3459	3	2	False	False
s4113	1665	2	False	False
s1131	2417	4	True	False
s620	84	2	False	False
s1257	14554	4	True	False
s131949	391	2	False	False
s114708	2223	3	True	False
s350	20686	4	True	False
s3793	75	4	True	False
s5007	59	2	False	False
s82231	87	4	True	False
s4932	68	3	True	False
s5243	105	2	False	False
s1470	4676	4	True	False
s105478	658	3	True	False
s1797	4	2	False	False
s138350	856	2	False	False
s5167	8	4	True	False
s139611	2417	2	False	False
s105613	591	4	True	False
s83120	75	3	True	False
s1902	63	2	False	False
s4956	49609	4	True	False
s114696	51	2	False	False
s2897	462	2	False	False
s2828	29696	4	True	False
s81740	398	4	True	False
s5440	11390	2	False	False
s969	90	3	True	False
s105685	17	2	False	False
s81504	361	4	True	False
s3658	138307	4	True	False
s3718	101	2	False	False
s3228	69	2	False	False
s138246	216	2	False	False
s83256	50	2	False	False
s1408	98492	4	True	False
s105502	1333	3	True	False
s129038	51	2	False	False
s104834	5732	2	False	False
s120775	96	2	False	False
s82760	174	3	True	False
s1293	24	3	True	False
s134766	601	2	False	False
s81608	182	2	False	False
s132022	399	4	True	False
s114718	126	2	False	False
s2358	698	4	True	False
s2347	50	3	True	False
s3974	255630	4	True	False
s2608	80256	4	True	False
s1883	890192	4	True	False
s3435	29	2	False	False
s105629	323	5	True	False
s125380	67	2	False	False
s121017	3	2	False	False
s4000	182	2	False	False
s121057	457	4	True	False
s4670	172	2	False	False
s105230	62	2	False	False
s449	7	2	False	False
s4260	93970	5	True	False
s4028	104059	4	True	False
s125349	10	2	False	False
s4147	96	3	True	False
s1248	50	2	False	False
s2654	104	3	True	False
s3492	60340	4	True	False
s131945	67	2	False	False
s3815	639857	4	True	False
s105360	475	4	True	False
s4691	17	2	False	False
s121182	1	2	False	False
s1615	36898	4	True	False
s153	184	3	True	False
s278	13227	4	True	False
s105700	32	3	True	False
s132027	377	2	False	False
s105304	451	3	True	False
s82527	229	3	True	False
s105592	111	3	True	False
s2870	60012	4	True	False
s1648	93	2	False	False
s105553	1444	2	False	False
s120785	319	2	False	False
s120906	237	2	False	False
s114663	61	3	True	False
s4099	296	2	False	False
s4246	2	2	False	False
s1676	89047	4	True	False
s2847	35663	4	True	False
s82833	162	2	False	False
s105301	55	2	False	False
s82046	145	4	True	False
s2352	103	2	False	False
s105286	53	3	True	False
s3823	986	2	False	False
s81928	301	4	True	False
s82341	439	2	False	False
s114767	134	2	False	False
s82912	289	2	False	False
s4341	389065	4	True	False
s5034	1001	4	True	False
s2041	25726	4	True	False
s121	1	2	False	False
s4488	53	2	False	False
s5397	43859	2	False	False
s82442	65	2	False	False
s105479	1843	4	True	False
s2115	145823	4	True	False
s82682	43	3	True	False
s4994	50	2	False	False
s1314	143401	4	True	False
s129089	52	2	False	False
s81448	1201	2	False	False
s879	11784	4	True	False
s3352	6789	2	False	False
s171	119	4	True	False
s105455	565	3	True	False
s3766	330	2	False	False
s81404	192	2	False	False
s3711	91	2	False	False
s1096	14259	4	True	False
s114617	35	3	True	False
s5224	7810	4	True	False
s114734	323	2	False	False
s129060	66	2	False	False
s1774	150	2	False	False
s81899	57	2	False	False
s945	9674	4	True	False
s104940	52	2	False	False
s105755	20	2	False	False
s1906	5	3	True	False
s3888	128	2	False	False
s3147	88	2	False	False
s114523	2	2	False	False
s4843	180218	4	True	False
s121150	10	2	False	False
s329	585	4	True	False
s82820	61	4	True	False
s1550	67	2	False	False
s3090	2236	2	False	False
s82254	419	3	True	False
s129057	33	6	True	False
s5270	3431	4	True	False
s83225	37	3	True	False
s82386	638	3	True	False
s380	255	4	True	False
s2834	189582	4	True	False
s2978	248158	4	True	False
s3056	488	2	False	False
s82382	519	4	True	False
s114737	307	2	False	False
s478	1980	5	True	False
s3175	1083	5	True	False
s5145	586	4	True	False
s81710	3129	2	False	False
s4077	209	4	True	False
s3552	277	3	True	False
s2223	121	2	False	False
s3523	64	2	False	False
s4182	145	4	True	False
s131968	2	2	False	False
s81845	21	4	True	False
s132067	1367	3	True	False
s1319	93830	4	True	False
s134708	106	2	False	False
s82874	5	2	False	False
s281	25785	4	True	False
s1679	163	2	False	False
s134802	1	2	False	False
s125571	9	2	False	False
s138295	1235	2	False	False
s105769	68	2	False	False
s105034	8	2	False	False
s4241	6058	4	True	False
s1382	69570	4	True	False
s125439	323	3	True	False
s2682	68	2	False	False
s104922	13	2	False	False
s81789	1991	2	False	False
s131893	94	2	False	False
s4531	119679	4	True	False
s105178	54	2	False	False
s104811	140	2	False	False
s81976	62	2	False	False
s105696	494	3	True	False
s120767	58	2	False	False
s82427	328	2	False	False
s146	2208	4	True	False
s3944	55348	4	True	False
s2354	310	2	False	False
s872	159386	4	True	False
s4345	49990	4	True	False
s36	64	4	True	False
s777	17880	4	True	False
s138323	58	2	False	False
s81791	1	2	False	False
s125440	1865	2	False	False
s3288	45	4	True	False
s3328	94689	4	True	False
s138242	3	2	False	False
s129222	207	2	False	False
s4500	173	2	False	False
s1048	16221	4	True	False
s640	9	4	True	False
s105308	111	3	True	False
s82084	72	3	True	False
s3518	4856	2	False	False
s874	19362	4	True	False
s140243	3208	2	False	False
s140509	60	2	False	False
s121122	9	2	False	False
s81657	383	4	True	False
s148	29866	4	True	False
s105270	7	2	False	False
s5406	701	4	True	False
s82245	113	4	True	False
s4393	157	4	True	False
s81452	242	3	True	False
s138256	83	2	False	False
s4039	299702	4	True	False
s3082	301	2	False	False
s3803	107	4	True	False
s121047	1911	3	True	False
s806	4700	4	True	False
s586	1668	4	True	False
s120823	54	3	True	False
s4424	50499	4	True	False
s82496	168	2	False	False
s1035	238576	4	True	False
s81754	115	4	True	False
s1844	705	2	False	False
s114535	2437	2	False	False
s1776	87356	4	True	False
s2075	139915	4	True	False
s273	88	2	False	False
s83170	107	4	True	False
s134730	38	2	False	False
s82495	322	2	False	False
s83101	37	2	False	False
s4078	69	2	False	False
s4731	8082	4	True	False
s114988	88	2	False	False
s105547	831	4	True	False
s104948	266	2	False	False
s854	36710	4	True	False
s120936	302	2	False	False
s2004	84840	4	True	False
s114679	325	2	False	False
s105666	2	2	False	False
s139615	27	2	False	False
s125611	245	2	False	False
s187	82	4	True	False
s83078	34	4	True	False
s129197	117	2	False	False
s678	1	2	False	False
s1549	98923	4	True	False
s220	72	2	False	False
s82782	2	3	True	False
s121166	222	2	False	False
s129109	240	3	True	False
s120957	135	2	False	False
s105751	639	3	True	False
s1926	46469	4	True	False
s120914	62	2	False	False
s4672	115331	4	True	False
s83151	290	4	True	False
s2109	66	4	True	False
s2937	22534	4	True	False
s1980	100129	4	True	False
s82553	90	2	False	False
s83253	773	4	True	False
s121184	38	3	True	False
s360	3301	4	True	False
s4924	23552	4	True	False
s81360	140	3	True	False
s2060	21955	4	True	False
s83237	1	2	False	False
s125585	34	2	False	False
s4725	187770	4	True	False
s82097	344	2	False	False
s125488	2490	2	False	False
s1750	734	2	False	False
s105274	114	2	False	False
s81631	78	2	False	False
s82018	3	2	False	False
s2838	61	2	False	False
s5099	237	4	True	False
s5107	93	3	True	False
s1746	3528	4	True	False
s2730	1	2	False	False
s96483	373	3	True	False
s143364	60	2	False	False
s82776	65	2	False	False
s105180	53	2	False	False
s114527	387	3	True	False
s43	227	3	True	False
s82416	3	3	True	False
s105730	103	2	False	False
s1551	77553	4	True	False
s82509	15	2	False	False
s129244	150	2	False	False
s129230	58	2	False	False
s4775	2215	4	True	False
s82512	13	2	False	False
s204	11	4	True	False
s125549	138	2	False	False
s105465	458	2	False	False
s3519	453574	4	True	False
s4328	207	4	True	False
s125422	7	2	False	False
s132	92	2	False	False
s921	3	2	False	False
s4925	382	4	True	False
s5182	25	3	True	False
s137943	101	2	False	False
s82420	36	4	True	False
s105649	451	2	False	False
s2250	60	2	False	False
s1440	172221	3	True	False
s125605	16	3	True	False
s121102	83	2	False	False
s81392	437	2	False	False
s527	2	3	True	False
s131897	74	2	False	False
s425	67	2	False	False
s4109	7450	4	True	False
s115006	8	3	True	False
s1378	51436	4	True	False
s105138	312	2	False	False
s82371	194	3	True	False
s82660	852	4	True	False
s82287	6	2	False	False
s105022	205	3	True	False
s134691	11	2	False	False
s3502	392519	4	True	False
s82227	321	4	True	False
s3852	19060	4	True	False
s104972	334	2	False	False
s83084	105	2	False	False
s4288	56	2	False	False
s4057	1548	4	True	False
s81613	94	3	True	False
s3821	20201	4	True	False
s1389	1814	2	False	False
s1794	3	2	False	False
s114831	198	2	False	False
s138229	1	2	False	False
s5250	17846	4	True	False
s114992	242	4	True	False
s5026	53	3	True	False
s792	623	2	False	False
s1779	182823	4	True	False
s3106	164	3	True	False
s81784	330	3	True	False
s105772	1799	4	True	False
s2374	47360	4	True	False
s4526	33	4	True	False
