cluster	n_nodes	mean_degree	median_degree	max_degree	mean_length	median_length	total_length	branching_fraction	terminal_fraction	subgraph_nodes	subgraph_edges	density	n_components
0	90	2.977777777777778	3.0	5	33494.444444444445	175.0	3014500	0.5555555555555556	0.0	90	127	0.031710362047440696	2
1	10727	2.874708679034213	2.0	9	23203.52307262049	173.0	248904192	0.4940803579752028	0.0	10727	15398	0.00026765677307132984	18
2	116	2.896551724137931	3.0	5	3642.7241379310344	141.5	422556	0.5517241379310345	0.0	116	160	0.0239880059970015	3
3	137	2.883211678832117	3.0	6	3985.4379562043796	123.0	546005	0.5182481751824818	0.0	137	192	0.020609703735508803	2
